date,max,min,average,departure,hdd,cdd,percipitation,new_snow,snow_depth
2018-01-01,1,-9,-4.0,-28.4,69,0,0.00,0.0,1
2018-01-02,8,-9,-0.5,-24.8,65,0,0.00,0.0,1
2018-01-03,17,6,11.5,-12.7,53,0,T,0.1,1
2018-01-04,12,0,6.0,-18.1,59,0,0.00,0.0,1
2018-01-05,11,-1,5.0,-19.0,60,0,0.00,0.0,1
2018-01-06,17,-2,7.5,-16.4,57,0,0.00,0.0,1
2018-01-07,33,8,20.5,-3.4,44,0,0.03,T,1
2018-01-08,37,31,34.0,10.2,31,0,T,0.0,1
2018-01-09,36,26,31.0,7.3,34,0,0.00,0.0,0
2018-01-10,56,30,43.0,19.3,22,0,0.01,0.0,0
2018-01-11,59,23,41.0,17.4,24,0,0.36,0.0,0
2018-01-12,23,14,18.5,-5.1,46,0,T,T,0
2018-01-13,16,6,11.0,-12.5,54,0,0.00,0.0,0
2018-01-14,21,5,13.0,-10.5,52,0,0.08,0.8,0
2018-01-15,24,10,17.0,-6.5,48,0,0.14,2.3,2
2018-01-16,26,9,17.5,-6.0,47,0,0.01,0.6,3
2018-01-17,20,4,12.0,-11.4,53,0,0.00,0.0,3
2018-01-18,32,16,24.0,0.6,41,0,0.00,0.0,2
2018-01-19,40,28,34.0,10.6,31,0,0.00,0.0,2
2018-01-20,45,32,38.5,15.1,26,0,0.00,0.0,0
2018-01-21,44,36,40.0,16.5,25,0,T,0.0,0
2018-01-22,54,38,46.0,22.5,19,0,0.81,0.0,0
2018-01-23,39,28,33.5,10.0,31,0,0.07,0.5,0
2018-01-24,30,27,28.5,4.9,36,0,0.02,0.3,1
2018-01-25,43,24,33.5,9.9,31,0,0.00,0.0,1
2018-01-26,51,33,42.0,18.3,23,0,0.00,0.0,0
2018-01-27,50,36,43.0,19.2,22,0,0.00,0.0,0
2018-01-28,40,28,34.0,10.1,31,0,0.01,T,0
2018-01-29,30,17,23.5,-0.5,41,0,T,T,0
2018-01-30,31,15,23.0,-1.1,42,0,0.00,0.0,0
2018-01-31,42,31,36.5,12.3,28,0,0.00,0.0,0
2018-02-01,35,8,21.5,-2.8,43,0,0.00,0.0,0
2018-02-02,22,5,13.5,-11.0,51,0,0.00,0.0,0
2018-02-03,41,22,31.5,6.8,33,0,0.03,0.8,0
2018-02-04,35,4,19.5,-5.3,45,0,0.08,1.1,1
2018-02-05,12,-3,4.5,-20.5,60,0,0.22,2.2,2
2018-02-06,21,3,12.0,-13.2,53,0,0.02,0.2,4
2018-02-07,20,8,14.0,-11.4,51,0,0.11,1.7,4
2018-02-08,21,7,14.0,-11.7,51,0,0.15,1.6,4
2018-02-09,28,18,23.0,-2.9,42,0,0.57,6.2,8
2018-02-10,22,14,18.0,-8.2,47,0,0.05,0.8,10
2018-02-11,22,11,16.5,-9.9,48,0,0.39,3.7,12
2018-02-12,27,4,15.5,-11.2,49,0,0.00,0.0,12
2018-02-13,35,7,21.0,-6.0,44,0,0.00,0.0,11
2018-02-14,44,24,34.0,6.7,31,0,T,0.0,10
2018-02-15,48,38,43.0,15.4,22,0,T,0.0,4
2018-02-16,37,20,28.5,0.6,36,0,0.00,0.0,0
2018-02-17,35,17,26.0,-2.2,39,0,0.11,2.0,0
2018-02-18,41,12,26.5,-2.0,38,0,0.02,0.0,2
2018-02-19,60,37,48.5,19.7,16,0,0.52,0.0,0
2018-02-20,66,34,50.0,20.8,15,0,2.10,0.0,0
2018-02-21,34,27,30.5,1.0,34,0,0.04,T,0
2018-02-22,40,29,34.5,4.6,30,0,0.00,0.0,0
2018-02-23,44,33,38.5,8.3,26,0,0.06,0.0,0
2018-02-24,50,33,41.5,10.9,23,0,0.16,0.0,0
2018-02-25,50,34,42.0,11.0,23,0,0.01,0.0,0
2018-02-26,53,28,40.5,9.2,24,0,0.00,0.0,0
2018-02-27,62,39,50.5,18.8,14,0,0.00,0.0,0
2018-02-28,59,37,48.0,15.9,17,0,0.00,0.0,0
2018-03-01,46,34,40.0,7.6,25,0,0.81,0.0,0
2018-03-02,48,30,39.0,6.2,26,0,0.00,0.0,0
2018-03-03,43,33,38.0,4.8,27,0,0.00,0.0,0
2018-03-04,46,32,39.0,5.4,26,0,0.00,0.0,0
2018-03-05,40,33,36.5,2.6,28,0,0.11,0.4,0
2018-03-06,41,31,36.0,1.7,29,0,0.07,T,0
